radius1,texture1,perimeter1,area1,smoothness1,compactness1,concavity1,concave_points1,symmetry1,fractal_dimension1,radius2,texture2,perimeter2,area2,smoothness2,compactness2,concavity2,concave_points2,symmetry2,fractal_dimension2,radius3,texture3,perimeter3,area3,smoothness3,compactness3,concavity3,concave_points3,symmetry3,fractal_dimension3
1.096099529,-2.071512302,1.268817263,0.98350952,1.567087457,3.280628064,2.650541786,2.530248864,2.215565542,2.253763811,2.487545149,-0.564768123,2.830540289,2.485390675,-0.213813513,1.315703888,0.723389651,0.660239001,1.147746771,0.906285645,1.885030997,-1.35809849,2.30157548,1.999478159,1.306536657,2.614364658,2.107671818,2.294057599,2.748204114,1.935311742
1.828211974,-0.353321523,1.684472552,1.907030269,-0.826235447,-0.486643478,-0.023824892,0.547662271,0.001391139,-0.867888807,0.498815695,-0.875473279,0.26309547,0.741749287,-0.60481867,-0.692317104,-0.440392559,0.259933354,-0.804742292,-0.099356317,1.80433981,-0.368878647,1.533776431,1.88882702,-0.375281748,-0.430065806,-0.146619958,1.086128616,-0.243675259,0.280942787
1.578499202,0.455785908,1.565125984,1.557513185,0.941382123,1.051999895,1.362279789,2.035439783,0.93885872,-0.397658013,1.227595791,-0.779397589,0.850180232,1.180297518,-0.296743909,0.814257044,0.212889115,1.42357487,0.236827152,0.29330133,1.510541129,-0.023953307,1.346290616,1.455004298,0.52694375,1.081980138,0.854222319,1.953281664,1.151242028,0.201214162
-0.768233323,0.253509051,-0.592166123,-0.763791736,3.280666839,3.399917422,1.914212875,1.45043113,2.864862154,4.906601993,0.326086519,-0.110311981,0.286341454,-0.288124629,0.689095329,2.741867851,0.818797928,1.114026779,4.728519774,2.045710868,-0.281217023,0.133866306,-0.249719577,-0.549537693,3.391290721,3.889974667,1.987839169,2.173873229,6.040726147,4.930671866
1.74875791,-1.150803847,1.775011328,1.824623802,0.280125349,0.538866307,1.369806149,1.427236955,-0.009552062,-0.561955519,1.269425821,-0.789548982,1.272070124,1.189310289,1.481763364,-0.048477225,0.827742454,1.14319885,-0.360774828,0.498889164,1.297433635,-1.465480907,1.337362721,1.219651081,0.22036227,-0.313118999,0.6126397,0.728618149,-0.867589596,-0.396750521
-0.475955874,-0.834600943,-0.386807717,-0.505205927,2.235454519,1.243241565,0.865540012,0.823930674,1.004517928,1.888343495,-0.254846056,-0.592140631,-0.32102172,-0.289003924,0.156209255,0.445151962,0.159884516,-0.069062786,0.134000901,0.486417844,-0.165352754,-0.313560433,-0.114908349,-0.244105421,2.046711944,1.720102933,1.262132653,0.905091401,1.752527348,2.239830793
1.169878303,0.160508196,1.137124498,1.09433201,-0.123027974,0.08821762,0.299808599,0.646366374,-0.064268069,-0.761661971,0.149751305,-0.804232248,0.155273668,0.298364935,-0.908230679,-0.650995203,-0.309868736,-0.227888508,-0.828936704,-0.610680472,1.367779798,0.322599039,1.367122374,1.274098467,0.518184279,0.02119633,0.509104292,1.195663738,0.262244916,-0.014717529
-0.118412587,0.358135011,-0.072802781,-0.218772414,1.602638897,1.139100062,0.0609721,0.28170239,1.40212091,1.65889353,0.643057179,0.290305519,0.489620171,0.233516951,0.587513921,0.26869628,-0.232349511,0.434965782,-0.687399393,0.611131052,0.163619008,0.400695342,0.099361153,0.028834057,1.44668819,0.724148332,-0.021035343,0.623646991,0.477220581,1.724916761
-0.319885392,0.588312125,-0.183918551,-0.383869508,2.19990308,1.68252936,1.218024551,1.149679986,1.963871911,1.571079345,-0.356536302,-0.389475307,-0.227543186,-0.352093318,-0.436293449,0.532821399,0.120462346,0.075176901,0.107387047,-0.017347935,-0.161214745,0.822089979,-0.03158132,-0.248145066,1.661295226,1.816711165,1.278909223,1.390392844,2.387756194,1.287516669
-0.473118229,1.104466866,-0.329192133,-0.508615849,1.581308033,2.561104951,1.737343408,0.940932405,0.796597103,2.780648917,-0.387908824,0.692735768,-0.409059705,-0.360446618,0.035976834,2.607292473,1.508520263,0.409035052,-0.320854048,2.375256073,-0.243974936,2.440961268,-0.286026354,-0.297147713,2.318255541,5.108382433,3.991920376,1.618591014,2.368359893,6.840836824
0.537083438,0.918465157,0.441622082,0.406095932,-1.016791162,-0.712914562,-0.700068361,-0.404329784,-1.034565253,-0.825398072,-0.092574387,-0.054116766,-0.197867461,0.003801211,-1.003151011,-0.90512489,-0.691833122,-0.681514219,-0.718852129,-0.284536536,0.604317029,1.33459697,0.492188574,0.473194982,-0.624926668,-0.630273655,-0.605339335,-0.226010864,0.076363701,0.031790835
0.468979955,-0.325421266,0.478660673,0.358357013,0.052596137,0.470700959,0.134730431,0.441742202,0.110823153,-0.280100315,0.362868097,-0.420473313,0.345198309,0.303860527,-0.422971297,0.844969267,-0.131972053,0.165934457,-0.055925235,0.131929997,0.858804619,0.260772799,0.870136167,0.734893708,0.31671645,1.948911903,0.595863129,1.01006256,1.44057018,1.154635628
