var0,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47,var48,var49,var50,var51,var52,var53,var54,var55,var56,var57,var58,var59,var60,var61,var62,var63,var64,var65,var66,var67,var68,var69,var70,var71,var72,var73,var74,var75,var76,var77,var78,var79,var80,var81,var82,var83,var84,var85,var86,var87,var88,var89,var90,var91,var92,var93,var94,var95,var96,var97,var98,var99
0.461405593,-0.138062476,0.678771573,1.527777672,-0.218822542,-0.145965548,1.500183309,0.711480823,-0.433734245,0.501046599,-0.457501839,-0.47313445,0.296786529,-1.915843692,-1.666476899,-0.507983046,-0.956362366,0.337861316,-0.92409908,-1.403233429,1.408720963,-0.219035554,0.108589192,-1.432709702,-0.625957577,0.159359396,-1.261767097,0.392163611,-0.606130371,-0.302925002,-0.576853907,1.746854504,-0.104634391,0.274679282,0.269277771,0.599374175,0.044434333,-0.002414481,1.21415394,1.626756667,-1.510182455,0.004826113,-0.691284231,-0.323852736,0.34283469,0.652264008,-0.119343892,-1.912931009,-0.966465612,0.921946556,-2.73119247,1.138360438,0.419906021,1.306349955,-0.137984606,-2.209708824,0.473823115,1.352320515,1.054802295,-0.680340868,0.038605078,-0.521903851,-0.78478112,0.95753491,-1.180377187,-0.898208093,-1.071217705,-1.417678303,0.200421865,1.201591839,-0.167281922,-1.496459923,0.716587187,1.582932508,-0.586623651,-0.477174342,0.471258028,1.762020178,-0.571471874,-1.338763653,0.677250233,0.801219967,0.046565737,-0.561788387,0.905089789,0.520314277,-0.704301766,0.04642137,-1.504224851,0.686803762,-0.265963683,-0.413660721,-0.025703931,0.06072712,0.918482182,0.542112048,-0.241700127,0.792093704,0.450765152,-0.401675807
-1.05955587,0.807638332,-1.180781422,0.244734474,-2.025434568,-1.23202516,0.165040761,0.682626358,0.208686382,-0.15782491,-0.308906307,-1.517706858,-0.680863125,-0.486397846,1.098052732,0.405866546,-1.677865303,0.347700155,-0.394015365,-0.652200395,0.556406719,0.975053417,0.973922238,-0.854430667,-0.390519646,0.386689437,0.920516085,-0.451858662,-0.197614911,-1.092131052,-1.182723606,0.711957942,1.417133178,-0.143348396,-0.09019152,0.617203446,-0.383668495,-0.378510471,2.000240328,1.049099707,-0.75650041,0.554515199,0.106021592,0.36149756,0.089816031,1.172161002,0.367618462,-0.090765175,1.007999933,0.252167852,0.160105656,0.246742231,-0.17919592,-0.004452979,-0.513860574,-0.812328541,-0.964898846,-1.343494343,-0.795497285,-0.210247667,0.055234828,-0.279058793,-2.257660629,1.546280519,1.00545227,0.478179128,1.737250098,-0.938439014,1.916089721,-1.018545335,0.251539234,-1.263956587,-0.0491441,0.290060507,-0.090945102,0.72858395,0.051625373,-0.521117252,-0.619778434,0.890292128,-0.602619455,0.91944897,1.274186113,-1.623469234,1.038433934,2.108133371,0.354628994,0.594697301,1.016076259,-0.285590957,0.194876023,-1.260367437,0.152417267,0.515139593,0.532408066,1.012231841,-0.893794483,-0.508203517,2.014529952,-0.136583316
-0.095075201,0.985780342,0.39409368,-0.589024207,0.404715856,1.613266376,-0.059699953,1.505561118,-2.589299618,0.780670513,0.046438706,-0.301180503,0.144110868,-1.988946128,-0.170705117,0.419479158,1.439057362,-0.494842567,-0.8232093,-0.473307354,0.859542776,0.307832526,-0.489792576,0.481304155,0.016232565,1.044288705,-0.801058216,-0.302269553,-0.400848172,-1.438158957,0.338143734,0.163062843,-0.083958067,0.182633147,-0.009620734,-0.849458514,1.63474573,-0.510975741,-1.151763263,-0.344454937,-2.008787648,-0.64324176,-0.96734644,0.581853705,-0.683772637,0.870500585,1.487680851,0.739249978,-0.229047403,0.159085062,-1.503267826,-0.210398043,-0.926398031,0.682666585,2.545872655,0.521861803,-1.964268225,-0.301462705,0.232182454,0.041557663,-0.792627064,0.200604197,-1.190507632,-0.84930567,0.583713432,-1.023403187,0.460293316,-1.304817724,1.795091907,-0.8192136,-0.205632801,0.344595651,-0.587353898,0.048544704,0.645230664,0.97807725,0.749072002,-0.147810336,-0.187724735,2.489984338,0.994409567,-0.947690446,0.141274167,-0.3486167,-0.182193921,-1.300793638,-0.334341662,1.803391366,0.532921064,-2.52667237,1.267311884,1.05649584,-0.364697873,0.732667471,-0.869691166,-0.509804272,1.503448036,-0.246517305,-1.924502717,-0.053079466
-0.25415226,-1.395086843,-0.384428431,-0.293780755,-0.813646939,-0.073646312,0.365154598,1.825841477,0.211903816,0.215749782,-0.101405204,-1.971770561,0.02388796,0.026153954,2.495322364,-0.134812642,0.307722546,-0.011175889,-1.188312845,1.206274555,0.696391114,0.747055209,-0.87011475,1.3598145,-1.484401563,0.650390517,2.1672739,-0.956730575,-0.572324349,0.076201321,-0.476744302,-1.640194861,-0.013466139,-0.097043971,1.245753902,0.074586802,-0.438991882,1.006486399,0.118871375,-0.644400032,1.176356647,0.184789867,-0.008009674,0.153077025,-1.062815727,-0.544121029,0.003750252,-0.22125723,1.234478822,0.236131501,0.901063626,-0.064237602,0.941269458,0.38499278,0.067314564,-0.025368787,-0.92046476,0.576182497,0.065351831,-0.525672621,1.075340328,-1.188005881,-0.404423688,1.026307886,0.26763627,-0.029004067,0.192449972,0.142456951,-1.438258199,-0.375536285,1.613732282,-0.647872442,-0.358122756,-0.632969605,-0.022701865,-0.582911562,0.442131611,0.245215392,0.758454159,-1.046000251,-0.290508168,-0.240255859,0.50016039,-0.786525214,0.829321578,1.202510019,-0.933053585,-0.491863956,-0.639289404,2.655615697,-0.439788204,1.623219232,-1.307022739,-0.961600691,-0.693562976,-0.881902187,-0.359265585,-0.68492162,-0.825629368,1.119259027
-1.064049781,0.464173013,-0.880810471,1.554045047,-0.79372888,-0.233248024,0.760637171,-1.278975937,0.264916151,1.26639967,-1.504873176,0.197636771,0.315002244,0.736224299,-1.18158109,-1.272800418,0.519683575,0.320594793,0.250239941,0.392950488,-0.732786079,0.216148318,0.334546328,-0.731110992,1.786941992,0.533781223,-1.303133689,0.6694546,-0.974346781,0.742171143,1.217113695,-0.91362287,0.980664403,1.210269212,0.998650974,0.637914027,0.082532674,-0.481383348,-0.974487892,0.471082873,-1.173251384,-0.979015006,1.128100619,1.833707291,0.334036334,1.089024646,-0.261600529,-1.346309396,0.585001566,0.59149769,0.109784058,-0.321258751,0.849599518,-1.002346878,-0.695042035,-1.086356495,0.126067337,-1.036076699,-0.595054038,-0.721788692,-0.31456729,-1.408212409,0.084192494,1.235093592,0.095343729,1.603845941,1.202424774,0.701529184,0.129745648,0.012556345,0.770659603,-0.379534681,-1.809526994,0.39535539,-1.075520051,-0.966165857,-0.047873248,-0.066159133,-1.488923458,0.219065774,1.010593256,-1.15757078,1.32440931,-1.519705434,1.98586012,-0.452960171,0.244229267,-1.888659239,-0.143614099,0.224151389,-0.08342554,-0.536422963,-0.974616675,1.142868724,0.037688815,1.483336268,-0.631941613,-0.410087945,0.884770865,-1.549642163
0.379279279,0.807161203,1.921873472,-0.19875931,-0.762824515,-0.796557015,-0.813046764,-0.129741249,0.378888137,0.234909476,0.72402001,0.020619205,1.528315719,-0.293545327,2.750632295,0.690388857,-0.806645516,-1.047588534,0.485387697,-0.189090081,0.658532232,0.445112183,-0.032024855,-0.861913033,-1.597526295,-0.415760034,0.798246485,0.232610408,-1.241181558,0.147435102,0.429046712,-0.976502951,0.081148334,-1.23621588,1.145667881,-1.236591363,-1.856021408,1.801005634,-1.423112936,0.291810488,0.08066061,-2.759348216,-0.274991619,0.416969707,0.296837774,0.88620805,-0.412283853,0.671658002,-0.695250513,-1.407853418,-1.273677229,-1.566429655,0.895762313,-1.532746763,0.319707672,-0.294812692,-0.062839504,1.442248027,-0.342991761,0.546126189,-0.011414516,-0.168307006,2.205421607,-1.321324093,1.199392581,0.694614317,-0.488823403,1.497250496,-1.764843541,-0.555618654,-1.179304488,0.426274127,-1.095565511,0.336717493,-0.122957694,-0.477982955,0.343334226,-0.250890302,-1.156343934,2.960330418,-0.436730389,-2.264573189,-0.809361789,-1.239707661,0.743175098,0.306465242,0.506871973,-0.371390044,-0.372794069,-0.382134047,-0.078274124,0.811399682,0.357468969,0.517125603,0.515483629,0.832857559,0.227086989,0.386017479,1.275209359,-0.63047383
0.032340291,-1.126969805,0.39026351,0.588320952,1.160287632,1.132568067,-1.355717658,-0.987086687,0.553199586,0.472243514,0.43826554,3.980834785,0.631132975,1.08431854,0.995581319,0.71633833,-0.28549209,0.782682741,-0.787053781,-0.202730159,-0.538502896,0.073269557,2.359833014,-1.869746263,0.606085592,-1.618952783,-0.564904656,1.096363634,0.048430717,-1.064433514,-0.692623524,0.579650663,-0.901070796,-0.877140673,-1.119686273,0.260915304,-1.891188079,0.444078171,-0.115268884,1.244435495,-0.667018052,-0.204241835,1.097761275,1.328843907,-0.690201872,0.164894923,0.313149182,0.338130798,-0.275464381,1.310639618,-1.871732203,-0.503741215,0.348482889,0.444865867,1.364382906,1.266715401,-0.246985468,1.377814572,-0.625610967,0.85342877,1.791162683,1.100946592,0.101989894,-0.26632948,-1.49720492,0.339243126,-1.081654717,-0.766294641,-1.117122541,-0.491548346,-0.012150107,0.287451259,-0.619974992,0.969675091,-0.144909285,-0.789797763,0.179815505,2.125823984,0.307680562,-0.330404875,-1.472741718,-0.233842807,0.27743866,-0.398745576,-1.654779376,-0.908156503,1.602523906,1.427012889,-1.013537028,0.673519518,-1.215957815,1.359797856,0.263127543,0.963323762,-1.741893138,0.627889663,-0.084859073,0.880628497,0.988626628,0.070785158
0.187183363,0.042882903,-0.614273607,2.133986952,0.69004724,-1.923892054,0.154989249,-0.71213142,0.891428436,-0.835379353,-0.138290452,0.528042487,0.930854761,-1.214244706,-0.284811718,-0.419874935,-0.610616506,1.789393031,0.406838687,-1.248590974,0.861997829,2.011784174,1.075292603,-1.526159618,-0.565740487,1.35201585,-0.806821814,0.459420428,0.747719371,-0.918328015,-0.024303548,-3.322903395,-1.22772588,-0.621262563,0.830391503,-0.007747609,-0.896510154,-0.889628673,-1.507966192,-0.404137681,1.123579879,0.16927489,-0.534275286,0.764699571,-0.835543234,0.078515019,-0.191156242,0.737237393,-1.568653762,-0.842038556,-1.617691787,-0.338839141,1.092437627,-0.520644819,-0.440248858,0.918499317,1.116381943,-0.025820132,0.808695488,-1.079056057,1.351388629,1.96796421,0.500249645,-1.932691696,-0.568556853,0.649835481,-0.434694829,1.163556882,0.635684618,-0.74844118,0.047402521,-0.882981032,-0.232194813,-0.645875567,1.249667717,2.146388777,-1.489545736,-2.01262481,-0.289049632,-1.532164536,0.094452501,0.750271785,1.548079349,0.164296813,-0.237843297,-2.076773658,0.12029239,0.068544758,0.596100246,-0.723561069,-0.445129938,-1.418244104,-2.371184181,-1.079566298,-1.594332786,0.28999393,-0.623138346,-0.513851362,-0.998320091,-3.094103728
-0.271746183,-1.230134541,1.658762274,-1.355454364,-0.434390058,0.216247406,1.36695459,-1.483169262,1.202923971,-0.031816734,-0.931804753,0.483813041,0.253177248,-0.623747183,0.116946878,-0.329457251,0.126887353,0.685822521,1.604003423,-1.225031546,2.074809648,-1.859240182,-0.111125569,0.555424459,0.200356146,-0.597533167,-0.29417961,-0.465509871,-0.595032055,0.802736681,0.400203551,-0.786446865,0.909809475,1.495863596,-0.935502938,-0.397104827,-1.486765309,0.935931573,0.141919273,-0.720911679,-0.38481047,1.639584951,-0.082989237,-0.197773877,-0.93945565,-1.910240973,-0.170314107,0.290719298,1.064456794,-2.254176814,-1.099272167,-0.666680537,-0.091374616,-0.159168537,-0.063530493,0.424035688,-0.868968871,1.00808294,0.551047159,-0.350349631,1.578046493,1.418010382,0.894899334,-2.820971606,1.476747619,0.836768122,1.829498618,1.131101397,1.611344346,0.906319002,1.348934511,2.012358764,0.138157841,-1.658295024,-0.244998173,0.401031852,0.02732557,-1.292155143,-1.714103058,-0.723836729,0.852845278,1.595211933,0.965263784,0.982637733,-0.129722848,-1.831923219,-0.379272206,-0.26047862,-0.602488984,0.048371639,0.463533126,0.828441744,-0.280403509,-1.868936599,-0.485905918,-0.000404683,1.212682279,-0.543513831,0.567732219,0.286012381
0.276068674,0.798107798,0.660798662,-0.768544793,-0.56017275,0.82829795,0.564427941,-0.07376169,0.154512418,1.236892111,-0.574824233,0.571473952,-0.154684652,-0.247319799,1.139445179,0.891889431,0.800095046,1.329314647,0.017616756,0.73559589,-0.363746106,0.303476452,-0.089443912,0.070188089,0.514878768,-0.799256251,2.066634815,-0.972015147,-1.210122858,1.101613027,0.843163295,0.524431821,0.608447957,0.025908731,0.980036135,-0.671683347,-0.594746067,-0.013309802,-0.65581924,0.616420566,-0.708664919,0.216778742,-0.109864309,0.189189747,-0.479895046,-0.355666932,0.102076025,0.169247648,-0.021308908,1.738814849,-0.963532824,-0.139371561,-1.621334161,0.359471468,-1.025731154,-0.308022533,-0.334100893,0.347684732,-0.460261898,-0.615484164,1.410237706,0.237071896,-0.537247067,-0.189365264,1.540302714,-0.221457099,-0.684432736,-0.665249796,-0.48491556,-0.631544568,-1.249664838,-1.113936823,-0.832286103,0.494411834,-0.31939391,-0.202748689,1.231093077,1.413988011,-0.32704624,-0.609127782,-0.812440344,0.693197066,-0.166186232,-0.397707392,-0.835047834,-0.824331091,0.425250471,-1.313860347,0.971618426,-0.546915358,-0.14923062,-1.282321787,-0.004404781,-0.305170392,-0.044759385,1.414906232,0.11061553,-0.771069088,-0.712621685,0.578712692
